,fsi,lpi
0,Afghanistan,Afghanistan
1,Albania,Albania
2,Algeria,Algeria
3,Angola,Angola
4,Antigua and Barbuda,
5,Argentina,Argentina
6,Armenia,Armenia
7,Australia,Australia
8,Austria,Austria
9,Azerbaijan,Azerbaijan
10,Bahamas,
11,,"Bahamas, The"
12,Bahrain,Bahrain
13,Bangladesh,Bangladesh
14,Barbados,
15,Belarus,Belarus
16,Belgium,Belgium
17,Belize,
18,Benin,Benin
19,Bhutan,Bhutan
20,Bolivia,Bolivia
21,Bosnia and Herzegovina,Bosnia and Herzegovina
22,Botswana,Botswana
23,Brazil,Brazil
24,Brunei Darussalam,Brunei Darussalam
25,Bulgaria,Bulgaria
26,Burkina Faso,Burkina Faso
27,Burundi,Burundi
28,,Buthan
29,Cambodia,Cambodia
30,Cameroon,Cameroon
31,Canada,Canada
32,Cape Verde,
33,Central African Republic,Central African Republic
34,Chad,Chad
35,Chile,Chile
36,China,China
37,Colombia,Colombia
38,Comoros,Comoros
39,Congo Democratic Republic,
40,Congo Republic,
41,,"Congo, Dem, Rep,"
42,,"Congo, Dem. Rep."
43,,"Congo, Rep,"
44,,"Congo, Rep."
45,Costa Rica,Costa Rica
46,Cote d'Ivoire,
47,Croatia,Croatia
48,Cuba,Cuba
49,Cyprus,Cyprus
50,Czech Republic,Czech Republic
51,,Côte d'Ivoire
52,Denmark,Denmark
53,Djibouti,Djibouti
54,Dominican Republic,Dominican Republic
55,Ecuador,Ecuador
56,Egypt,Egypt
57,,"Egypt, Arab Rep,"
58,,"Egypt, Arab Rep."
59,El Salvador,El Salvador
60,Equatorial Guinea,Equatorial Guinea
61,Eritrea,Eritrea
62,Estonia,Estonia
63,Ethiopia,Ethiopia
64,Fiji,Fiji
65,Finland,Finland
66,France,France
67,Gabon,Gabon
68,Gambia,Gambia
69,,"Gambia, The"
70,Georgia,Georgia
71,Germany,Germany
72,Ghana,Ghana
73,Greece,Greece
74,Grenada,
75,Guatemala,Guatemala
76,Guinea,Guinea
77,Guinea Bissau,
78,,Guinea-Bissau
79,Guyana,Guyana
80,Haiti,Haiti
81,Honduras,Honduras
82,,"Hong Kong SAR, China"
83,,"Hong Kong, China"
84,Hungary,Hungary
85,Iceland,Iceland
86,India,India
87,Indonesia,Indonesia
88,Iran,Iran
89,,"Iran, Islamic Rep,"
90,,"Iran, Islamic Rep."
91,Iraq,Iraq
92,Ireland,Ireland
93,,Israel
94,Israel and West Bank,
95,Italy,Italy
96,Jamaica,Jamaica
97,Japan,Japan
98,Jordan,Jordan
99,Kazakhstan,Kazakhstan
100,Kenya,Kenya
101,,"Korea, Rep,"
102,,"Korea, Rep."
103,Kuwait,Kuwait
104,Kyrgyz Republic,Kyrgyz Republic
105,,Lao PDR
106,Laos,
107,,"Laos, PDR"
108,Latvia,Latvia
109,Lebanon,Lebanon
110,Lesotho,Lesotho
111,Liberia,Liberia
112,Libya,Libya
113,Lithuania,Lithuania
114,Luxembourg,Luxembourg
115,,Luxemburg
116,Macedonia,Macedonia
117,,"Macedonia, FYR"
118,Madagascar,Madagascar
119,Malawi,Malawi
120,Malaysia,Malaysia
121,Maldives,Maldives
122,Mali,Mali
123,Malta,Malta
124,Mauritania,Mauritania
125,Mauritius,Mauritius
126,Mexico,Mexico
127,Micronesia,
128,Moldova,Moldova
129,Mongolia,Mongolia
130,Montenegro,Montenegro
131,Morocco,Morocco
132,Mozambique,Mozambique
133,Myanmar,Myanmar
134,Namibia,Namibia
135,Nepal,Nepal
136,Netherlands,Netherlands
137,New Zealand,New Zealand
138,Nicaragua,Nicaragua
139,Niger,Niger
140,Nigeria,Nigeria
141,North Korea,
142,Norway,Norway
143,Oman,Oman
144,Pakistan,Pakistan
145,Panama,Panama
146,Papua New Guinea,Papua New Guinea
147,Paraguay,Paraguay
148,Peru,Peru
149,Philippines,Philippines
150,Poland,Poland
151,Portugal,Portugal
152,Qatar,Qatar
153,Romania,Romania
154,Russia,
155,,Russian Federation
156,Rwanda,Rwanda
157,Samoa,
158,,Sao Tome
159,Sao Tome and Principe,
160,Saudi Arabia,Saudi Arabia
161,,Sco Tomi and Principe
162,Senegal,Senegal
163,Serbia,Serbia
164,,SerbiaMontenegro
165,Seychelles,
166,Sierra Leone,Sierra Leone
167,Singapore,Singapore
168,Slovak Republic,Slovak Republic
169,Slovenia,Slovenia
170,Solomon Islands,Solomon Islands
171,Somalia,Somalia
172,South Africa,South Africa
173,South Korea,South Korea
174,South Sudan,
175,Spain,Spain
176,Sri Lanka,Sri Lanka
177,Sudan,Sudan
178,Suriname,
179,Swaziland,
180,Sweden,Sweden
181,Switzerland,Switzerland
182,Syria,Syria
183,,Syrian Arab Republic
184,,São Tomé and Principe
185,,Taiwan
186,,"Taiwan, China"
187,Tajikistan,Tajikistan
188,Tanzania,Tanzania
189,Thailand,Thailand
190,Timor-Leste,Timor-Leste
191,Togo,Togo
192,Trinidad and Tobago,Trinidad and Tobago
193,Tunisia,Tunisia
194,Turkey,Turkey
195,Turkmenistan,Turkmenistan
196,Uganda,Uganda
197,Ukraine,Ukraine
198,United Arab Emirates,United Arab Emirates
199,United Kingdom,United Kingdom
200,United States,United States
201,Uruguay,Uruguay
202,Uzbekistan,Uzbekistan
203,Venezuela,Venezuela
204,,"Venezuela, RB"
205,Vietnam,Vietnam
206,Yemen,Yemen
207,,"Yemen, Rep."
208,Zambia,Zambia
209,Zimbabwe,Zimbabwe
